sentence1,label
nothing feels better than pulling yourself out of a depressive episode.,1
Oof so apparently this is called anxiety,1
what depression things should i draw,1
@user I take benzodiazepines on a daily basis for anxiety and PTSD. Tell them all to fuck off and do what you need to do.,1
Putting together this 90s party has my anxiety through the roof 😩,1
"@user Yesterday was bad for me.... super depressed feeling. Kinda pulling out of it today, I hope you're coming around soon!",1
Yeah it's called depression,0
my talking to my depression,1
"if you're feeling depressed, turn on some lights or open the shades. sitting in the dark will only make you feel worse.",0
"Depression doesn't show in pictures,because your friends post nice pictures doesn't mean they're doing well...Check on people🙏🏾",0
@user 10- summer depression#voteBillieEilishVMA,0
"jan. 2nd — 'my breakouts really bring out the, uh... depressed bitch who doesn't wash her face.'",0
Shout out to the amazing man who swapped my window seat for his aisle seat because I was freaking out about my anxious bladder being trapped,0
depression motivates me ina weird way,1
Fuck your anxiety to the hardcore level,0
god waking up having an anxiety attack in an out of body experience i literally thought i was having a heart attack,1
I came to this lecture to learn and came out more mad and depressed Thanks white ppl,1
Lol can't relate because I AM the depressing one in the group,1
Literally I get so much anxiety in movie theaters now,0
SEASON SIX GAVE ME DEPRESSION,1
"That feeling when you know God is about to bless you in a major way so you are anxious, nervous, and excited.",0
"Nice guys knew this, but the fact that it's been scientifically proven is depressing😭😭",0
People will pretend to anxiety and/or depression on social media for likes and that's fucking disgusting. 🙄,0
my therapist swears that i'm depressed but what he doesn't know is i can grab rim if i get a running start and a proper jump off,0
@user Watch  Tom &amp; Jerry  continue 2 hr 100% your depression finish 👌👍🙂🙂🤗 ager nehi tu paise wapis,0
"hello, depression is kicking my ass.",1
@user Depression over Crooked H not get baton passed seamlessly from O'bummer and now hatred over President Trump,0
So feeling a lil depressed tonight so good vibes would be appreciated 💗,1
that Tom odell song another love still hitting the same we going ✈ depression,1
ugh everything sucks right now #depressed,1
I hope this is the last time that I have to watch Philly this season. Their offense depresses me #TORvPHI,0
Lol y'all falsely romanticize depression and mental breakdowns and loneliness like that shit is a cool trend. 🚮🚮🚮,0
"stressed, depressed and sleep deprived... life is absolutely great (‘:",1
depression is dampening my creativity instead of fueling it... i was lied to many times,1
Being stuck in tk working almost everyday is depressing when everyone around you is traveling 🤦🏾‍♀️,0
I'm really depressed today so I'm gonna do this tomorrow. Sorry,1
As I was uploading today's video I got an email saying I won't be allowed to record BO4 gameplay at the event tonight I am depression,0
i'm so depressed,1
FUCK ANXIETY. 🖕🖕,1
That Pihu trailer made my anxiety spike,1
Got a very suspicious scam email and now im kinda anxious,0
@user @user This is depressing me,1
// Feeling down about stuffs.Anxiety probably.,1
having anxiety is like being sad for no reasons seconds after u feel happy.,1
anxiety consumes you.,1
@user Damn that shit depressing,0
guess which bitch has major anxiety but made plans to pick someone up from LAX as a power move???? also!!! me!!!!!,1
No one:My friend: your social anxiety is so bad,1
im depressed and want someone to talk to me but im also too depressed to answer messages :(,1
gonna do some depressed asos shopping instead of cleaning my shit state room,1
Why does anxiety have the power to destroy every other emotion you want to feel,1
ugh anxiety hits me rn 😭,1
American politics is depressing.,0
@user i'm having an anxiety attack just thinking about it 😂,0
im so fucking anxious *starts cleaning with a broom* IM SO FUCKING ANXIOUS *saihara-kun comes in* GET THE FUCK OUT,1
"Aside from my depression &amp; grief, I had a pretty cool birthday 🤷🏾‍♀️",1
Anxiety has peaked tonight,1
i hate it when people use the term 'nagdedepress-depressan'... can u pls explain to me why i would want to pretend to be unhappy????? 😐🙃,1
Long ass dream about very real inevitability. #Depressing #BootInAss #FML,0
"Maybe I'm exhausted, maybe I might be actually depressed. I guess we'll have to see tomorrow morning",0
You obviously don't know anything about social anxiety,1
"im going to check the nurse room again. I feel so much pain in my chest, this anxiety needs to leave.",1
i feel so depressed bc of these last two days i dont know how to even be happy anymore :/,1
@user dont worry about it we all have anxiety you'll get it eventually,1
@user Just took me 132.8 minutes to circle Earth. I really did use to love doing this without anxiety.,1
"My anxiety levels have been one million lately, and I just want to know why",1
mf ain't gone be happy til i'm somewhere dead die to stress &amp; depression .,1
can i stop being a depressed little bitch it's annoying,1
S/o depression naps,1
"SKDJDJ ILL REPLACE MY POST II DEPRESSION W PRE II HYPE FOR SG, HK N MUMBAI",0
"sunshine, good music + the windows down = goodbye seasonal depression, you won't be missed🌞🌞🚗🎵",1
"@user @user @user This cured my depression, thanks boss",1
New uniforms and now apparently a whole new roster. #Indians #Depressing,0
"depression is hella real no if ands or buts about it, its unfair to have someone else trying to fix it tho",1
"I have so much dread and anxiety, I'm impressed I haven't vomited. This has been a PSA.",1
Depressive episodes in at 12 am when ur parents r fighting is fun,1
"I'm Danny Dyer, and I'm about to meet Britain's most depressed air stewards",0
But the depression and anxiety stay the same,1
i drank half an iced coffee and I went home and have been in bed for two hours because I'm too anxious to do anything,1
My anxiety does not exist at theme parks,1
They all suffer from depression.,0
its 7p on a weds night and im anxious about hippo habitat loss in central Africafuckkkkk,0
I'm depressed af my heart is crying goodnight everyone and goodnight to taylor,1
"The more homework that a child receives, the more likely that child is to suffer from depression.",0
Change up your ring and alarm tones to remove the anxiety and hatred of them that builds up over time.,0
I cannot stand flies. They give me anxiety they need to be extradited right off this planet. N there's only always one lingering. FUCCCKKKKK,0
When your Aquarius friend is depressed:,0
that I was on the 'devine diet or depressed' asdfghjkl 😂,0
finally scotty sire has a reason to not be depressed,0
just depression-eating @user thanks,1
I'm gonna be disconnected from the results of game five while heading home and oh god the anxiety 🥺,0
"If @user hasn't made a cover of 'The Best' by Bonnie Tyler/Tina Turner, as 'I'm simply depressed', someone should!",1
"I'm officially depressed, I forgot my headphones at home",0
"fuck your zodiac sign, what anti-depressant are you on?",0
im so happy and depressed at the same time,1
Trust me i used to think hanging out with friends is better in handling my anxiety and stress but now i find more peace in being alone,1
That's a lot to clean up... I'm getting anxiety already,1
@user Overthinking Nostalgia DepressionFrustration,0
I sleep probably way more than the average person lol depression is a bitch,1
@user i do that with my antidepressants 😬,1
I love that one of my supervisors let's me text her when I need switch shifts. Helps ease my anxiety lol.,1
Is he stressed? depressed? up to the point wherein 'drugs' is the only way for him to escape reality?#SueDispatch,0
Should I continue to grow the depression beard,1
@user @user That's just depressing,0
today is a depressing day,1
Procrastination and depression don't mix. I promise you that. 😰,1
@user Hmm...a clear case of depression...,0
"@user I'm struggling with anxiety, loneliness, depression. Finding myself struggling to have that intimacy with God.",1
so tired of being depressed this shits making me laugh now,1
Sure! I also remember being anxious about being asked about the criminal am nerve of Grassi!,0
wow first day of daylight saving and my seasonal depression has already kicked in :))),1
"and my anxiety is breaking me, it kills mei'm living in a world so fake, I lost touch of the real me",1
I don't know which one is keeping me up at this point ... my depression or my anxiety 😩,1
Stoned and depressed a very scary place to be,1
• Don't focus on the end result and how you think you'll do. This can increase your anxiety and make you want to avoid it even more,0
@user at least u make it look less depressing,0
@user 23% of depression doesn't come out of space dave,0
@user 'you better not. I spent too long getting him out of a whole of depression just for the same thing to happen all over again.',0
@user Yessss . I've been depressed recently and it would nice 💗,1
Update: anxiously sitting in my car kinda want to sleep,1
@user Eeps. Yeah. Plus I have all kinds of anxiety about Drs AND driving so it's been an awesome day.,0
"I deal with Anxiety, but you're not gonna see me walking around with a sweatshirt showcasing and praises my issues...",1
does anyone else get an extreme anxiety spike when they hear the siren from the silent hill movie?,0
ok welp it's anxiety hours.,1
"@user @user You sound pretty anxious!Let the House Work, baby! 😂🤣😂",0
"I knew that Quinn could be idealistic, but I was surprised that he seemed so anxious today while we were at the party.",0
Does anyone get like random burst of anxiety cause their brain tell them their bf doesn't like them anymore?Just me? Cool,1
"anxiety sucks, for real",1
@user same they bully me and i blame them for having depression now and being socially awkward,1
@user So anxious ab thissss,0
@user @user You're to young to know what depression is.,1
Gonns play overdepressed,0
The post good ass weekend depression is real af,1
Anxiety is no joke dude... you literally can't do shit about it,1
@user You depressed?,0
@user anxious to hear,0
Hate waking up to an anxiety attack,1
My pet fishes seem to have separation anxiety from my dad and his loud jamaican voice. Everytime he goes on vacation atleast one of them die,0
@user NO THAT WAS ME I WAS JUST BEING DUMB AND ANXIOUS IT WONT BE THAT BAD IM SORRY SJGJSJF,0
I hate having anxiety,1
Look I'm already depressed there is nO NEED for this. NONE.,1
me: trying to say but just tweeting is making me kind of anxious dsKJSDFH...,0
Anxiety and coffee does not mix well together 😣😣,1
Vibrating with great anxietyMy insides throb at your touchI need to have you like thisFilling Me closely,1
i call dibs on the stone that absolves my ever-increasing crippling anxiety,1
@user @user Practically every synagogue near me has a security detail. It's so depressing,0
mad how the whole of the uk were pure buzzing in the sun now we're all depressed again lol,0
ok so I'm gonna try to promise myself that i won't get bored and depressed an end the year at least satisfied with what I've done.,0
depression is not something that will magically go away by 'moving on'. u need to get educated,1
28 hours since sleep and I'm feeling very very very very very very anxious,1
F this. I'm about to have an anxiety attack.,1
My anxiety is doing crazy things today.,1
Anxiety attacks are no joke..,1
Taking practice tests for my boards gives me SO much anxiety.,1
Life is depressing but at least there's hentai and coffee.,0
anxiety attack fucks,1
"@user @user This country is a mess, read my most recent tweets, its so depressing at how down hill it's gone xx",0
"Depression causes undernutrition, but I've gained weight???? Science is broken.",1
"@user Well, I'm anxious.",0
@user @user Then I'm not sure you know what depression is.,0
@user @user @user The implications of that quote are so depressing,0
My anxiety is on EDGE,1
"i really need more long term friends, i'm falling deeper into a depressive episode nd it sucks h",1
@user Anxiety labda but anyways ukipata wawili just push the other over here but for the time being  ....♥,0
Hello depression. I haven't seen you in awhile.,1
me trying to fight anxiety,1
do u ever feel anxious for no reason? yeah same,0
Too many @user logistics anxieties right now...bout to ride a bike to work off some of this energy 🎏🔥😵,0
@user depressed bitch 😂😂😂,0
"My dream significant other has three eyes, a dog in their tinder bio, and anxiety.",0
going to the bars my dad always went to gives me a whole new kind of anxiety,1
takes two pain meds so i can get knocked tf outalso anxiety turned into headache so theres thatam out,1
the way my mum guilt trips me into doing things i dont want to do is the reason i have depression and anxiety &lt;3,1
@user This current administration is the cause of a lot of people I know feeling deeply depressed.,0
"The Day Chapter 1, a sonic the hedgehog fanficKnuckles is depressed and goes into a rampage and breaks the master emerald.",0
@user i have social anxiety i am immune to anyone i can easily walk away from,1
"When I get depressed I could go days without talking to anybody 😭. It's nothing personal, I just have to recollect myself",0
@user I am now having a hissy anxiety fit!,1
@user ..The ABC must be a den of utter depression at the moment. 😊,0
it's actually so depressing coming back home from a holiday,0
@user How depressing for British Tennis 🎾 now what?? 😏😢☹️☹️☹️,0
this movie pissing me off.....giving me anxiety......stressing me.....sjhhjhssjjjjh like got damn....,1
"@user I swear.. She responded like she's emotionally depressed.. She needs a man, but she no go gree 😂",0
@user @user @user Chill this is depressing,0
@user The dude has actually turned into everything he actively railed against during the whole #Gamergate episode. Depressing.,0
Some strange men just talked to us and they don't seem to understand personal space or social anxiety. I just wanna be home,1
@user It's my duty to love every depressed character,0
@user @user This gave me so much anxiety,1
seems like anxiety always comes back around .,1
"When Im depressed, I sleep a lot and live in my dreams",0
Fck yes this honestly made me depressed. First day of school plg muni na sa utok ko,0
GAHHH WHAT IS THE KEY TO NOT FEEL SO SHIT N DEPRESSED N JUST WORTHLESS ALL THE TIME ?,1
@user that was such a depressing period,0
@user i don't want to encourage the depression but.... it is the best show of all time and you have to watch,0
I can't look when they start tattooing my anxiety goes OFF when they turn the machine on,1
My anxiety been OD lately,1
No more anxiety attacks about practicals till January yay,1
@user my anxiety kicked in quick bro...,1
bro i sat here for 20 minutes contemplating posting that MY ANXIETY i hate myself goodbye,1
was having a good day then boom instantly depressed,1
@user O please let's go! I'm 62&amp; so anxious 4 ERA  2PASS ON TRUMPS WATCHIMAGINE,0
I haven seen my girl in two days I'm officially depressed 😕,1
I Honesty Want Someone 2 Slap My Stupid Ass When I Get In My Depressing Fuck The World Moods.... Like Tightrn Me DF Up,1
feel like i'm never gone escape this depression shit.,1
I feel like my depressing days r coming again so yeah.. i dont even know what/who's the trigger but i can feel it in my veins,1
"Prostate cancer can make you feel lost, anxious, low in mood and alone. It's important to talk about your experience #talkiskey",0
i am sososososso anxious rn. literally about to cry and i keep shaking and i have no clue why i feel like this. ?? like wtf is wrong w me,1
can't be an afuly. can't do it. not just yet. idc if i'm almost 19. too much anxiety. im gonna kms. it's a no for me,1
My anxiety is bad for no reason at all. I feel like I'm gonna throw up like am I like this lmfao,1
For awareness... do you struggle with anxiety &amp; or panic attacks?,0
This bitter cold and now scare that we are all going to run out of natural gas is giving me anxiety.,1
@user @user @user This Charlotte girl character  can depress people,0
@user Lmfaooooooo fuck it I'm anxious.,1
@user this is so depressing im about to cry,0
Have people started getting emails from axs and ticketmaster uk yet? Asking for my anxiety.,1
"some people are pretending to be depressed just to gain attention. quit it, it won't make u cool i swear.",0
When somebody tell me they gotta talk to me that shit make my anxiety go up 😭,1
Anxiety is the worst,1
anxietyrestlessness uncertainty insomniaexhaustion painis depression even not an option ??,1
I really just need reassurance and someone to hold me bc overthinking really has me feeling anxious n scared wtf,1
well atleast my anxiety is there to f me everyday hnnnggghhhhnggnng,1
@user i actually have anxiety.,1
Anxiety literally runs my life wby,1
this bitch is feeling sad and depressed which got me feeling sad and depressed and now we crying together.. issa bonding moment,0
Wow I forget how anxious I get in new settings with a bunch of people I don't know,1
My anxiety is out the roof,1
@user Pets are like magic antidepressants. 😊,0
and i'm depressed again.. love that.,1
"This is my side thing to post about my depression and anxiety. If you found this accidentally, lo siento mucho.",1
Fuck a anxiety and fuck a depression,1
me: slightly nervous/anxious for whatever reasonmy body: ur stomach? in pain! nausea? present!,1
Someone recc me good Yaoi? Last time I read two and watched to depressing ones and yeah,0
what a GREAT time to be a depressed bisexual huh!!!! SO much respectful well-written representation for us!!!! 🙃🙃,1
This reality is so deeply depressing.,0
"@user I've seen some minorly depressing episodes OF it, does that count?",0
My anxiety level is above the maximum limit right now. 😭🙀,1
Can June get here already I'm anxious af to see YC and finally go to a show again 😩😋,0
These opening statements are ratcheting up Dr. Ford's anxiety. 😖#FordHearing #FordKavanaugh,0
I woke up so anxious I'm crying already and I've been awake 5 minutes i love my life,1
I longed for the joy that had left me .I suffer from depression,1
@user Depressingly accurate!,0
More depressed than I could have thought I'd ever get again. I miss both my girls soooo much man..,1
i went on a walk and my anxiety actually decided to stop uwu,0
it's the last full week ragan is here before college starts i'm depressed,0
"That depressing moment when you dip your cookie into milk for too long, it breaks off, and you wonder why bad things happen to good people.",0
It's pretty sad when you get anxiety about making a therapy appointment to talk about your anxiety. 😬,1
Honestly lucky to have my best mate when I go through depression he just listens and it's what I need 💕,1
the show really depicted depression in the realest way #EuphoriaHBO,0
I'm glad some of y'alls depression is going away!!,0
I swear my anxiety ruins everything.... I don't have anxiety I lied but this girl makes me crazyyyy 😖🥰,0
"I don't care , i am not depressed I didn't even cry or got a tear in my face because i know i have to survive all of this to be happy",0
@user I'm a shut in because I'm depressed,1
Tis the season for depression,1
@user I'm a depressed piece of shit 👺🤪,1
Everytime i think about my bro that shit get me depressed.,0
me @ my anxiety: fuck off pls,1
what the fuck am i so anxious for im sitting in my room alone playing COD,1
I always dedicated this song to my anxiety. It SUCKS and it needs a taste of it's own medicine.,1
This at bat has me so anxious,0
My last two functioning serotonin producers looking at my depression,1
@user Don't bother - it's just embarrassing &amp; depressing,0
@user sometimes...........depression is the spark of genius,0
Twitter can be so useful yet so depressing. Sometimes you just need a bit of this,0
Imagine being hospitalised because of anxiety,0
@user For anxiety,0
@user Did you listen to like all of big pink loser or just like I'm depressed or bands up,0
I only make puns when on the cusp of depression,0
Hear go this bitch named Depression tryna creep up on me. Not tonight hoe,0
@user Ok I'm depressed,1
Waah indomaret muter video klip Hello Anxiety-nya Phum Viphurit!!🕺🕺🕺,0
The biggest mood is feeling super anxious but not wanting to ring anyone bc u don't wanna bother them 🤙🏼,1
i wish i dont have to be anxious whenever im with people,1
"When the depression, anxiety and depersonalization disorder combo kicks in, it really kicks in",1
i am drowning in my anxiety tysm :),1
This is so depressing,0
Nothing gives me anxiety more than the tills at Aldi 😫,0
we going ✈️ depression,1
@user @user I find yoga classes great for meeting people who are really open which helps with any anxiety,0
so READY to have my bmc support system back and not go thru anxiety alone,1
Some real #WednesdayWisdom to help #HowIFightDepression. 🙏🏼,1
just finished my cna state board... and when i say i'm anxious to get my results i'm ANXIOUS,0
@user @user Rosie looks as if she is dealing with depression.,0
Putting things in the overhead bin causes so much anxiety like I really have to prep myself to do it 😭,0
I'm so anxious I feel sick,1
"Facts, ah nigga anxiety start to kick in &amp; I be thinking mf tryna rob my ass",0
Everything is hard when you're depressed....,1
@user And then that's why I was depressed because I couldn't even afford to afford😂,0
Knowing you have anxiety creates a whole new kind of anxiety😩,1
the nosedive episode of black mirror gives me real life anxiety every time i watch it; my tiny brain cannot handle it,0
Also really captures the mild depression and sleepless nights worrying over whether it will be okay.,0
tf do white people know about seasonal depression,1
Waking up depressed fucking sucks,1
@user @user Friday's that text is very important .If I don't get it I send it .It's depressing to drink alone.,0
"@user Hey, @user I have a story to tell you about anxiety/panic attacks. PM pleaseYou are doing great work btw keep it up!",1
im so fukn depressed oly fuk. i hate this. dam,1
Q: What keep gen-y depression today?A: Instagram,0
"i cut it off when i was like, peak manic depressive. what a wild ride this year has been!",0
Depression is no joke. I pray for those that still haven't found balance in their lives. 🙏,0
Me with my anxiety 😢,1
@user @user depression for not enjoying the good life he is used too,0
Seasonal depression is real!,1
"I really just want to delete my whole instagram page because it feels so toxic and brings me no joy, only anxiety.",0
I'll do a countdown Even if it make me even more nervous and anxious,0
@user @user @user Glycine glutamamte and GABA work together to decrease anxiety. All derive from #meat #eatmeatbehappy,0
Why do i look like a stereotypical depressed deprived teenage kid,1
Anxiety is through the roof today.,1
Will my depression ever go away,1
@user It means you have anxiety depression. Enjoy.,0
good load of anxiety just now,1
"@user Thanks for this, Peter. Very helpful if depressing. Is Barnier still ruling out at UK-wide backstop? If so, why?",0
My anxiety is so bad that I get nervous to hang up a phone call first after we both say bye lmao,1
"@user Bless my therapist who is currently on HER vacation, but she's still messaging me about my vacation anxiety.",1
okay can y'all stop speaking on shit u don't understand aka : social anxiety,1
That yüng depression is kicking in so imma step away from here for a bit peace and blessings,1
Depressed shit 😉,1
"i get anxiety about this all the time, save the earth!!!!",1
Didn't expect anxiety the minute I logged on to Twitter but we'll what do I know,0
"LRT someone took something I was selling, when I demanded my money wandixelela nge depression yakhe *sigh*",0
i'm on my first train home and i was so anxious but everything has gone pretty well so far and i'm proud of myself,0
it's 2019 and i'm still depressed,1
Why is everyone depressed on twitter.?,0
"Me, an hour after deciding to go to bed, having an anxiety attack and never went to bed",1
The realization of this tweet just depressed me 😢,0
@user Yea I don't wanna know depressing sh*t I wanna see a new fish or some sort of sea monster,0
Magstop kana ate u r giving me anxiety,0
When your method to calm your anxiety is giving you MORE anxiety lol love my life,1
"@user Bi-polar, anxiety, Depression wouldn't hurt a soul.",0
Anxious Buttercup. Perfect! ❤️😂,0
"'Anxiety ridden, thought-provoking' I love that",0
@user Omg I am so depressed right now,1
@user Antidepressants in a nutshell,0
i really really love living in a constant state of stomach-turning anxiety,1
I'm so depressed Bc I won't go to the gym today wtf,0
I find it weird how in 8th grade I was this pretty depressed working student and now I'm a not-so-depressed lazy ass student.,0
@user my antidepressants waking up my happy chemicals every morning,1
@user I just realized the paint in my bedroom is very close to  Dolphins colors.Now I'm depressed thanks Janine.😂😂,0
We are hitting critical levels of pre-trip anxiety,0
In a relationship with depression black dog,0
No time to be depressed i got personal works to do haha,0
In the mood to listen to depressing songs and cry my eyes out,0
Thinking about it and strongly considering it right now...#Depression #LowMood #WhatsThePoint,1
@user Welp. Another thoroughly depressing start.,0
My dreams make me so depressed lately lmao,0
im having a depressive episode,1
A depressed thot?!?...I feel seen.,1
Bitch idc u depressed I jus want the pussy,0
Well this is depressing.,0
@user I really feel you with that. Anxiety kicks my ass a lot lately and I'm honestly so tired like mentally it's weird,1
@user 🐰 // CHRONO WOULD BE SO DEPRESSED,0
"@user Listening to old podcasts which have been piling up on my computer. Anything but Brexit news, it's too depressing!",0
i don't even have the guts to tell them knowing that they'll scold me back for being 'dEpReSsEd',1
"i might just be really stoned but likealmost no anxiety rn, it's really surprising i just feel likeweird? like maybe i'm just sleepy",0
I hate when I get anxious in the middle of the night. I know everything is going to be okay. Has to be okay. &gt;&lt; It will be okay.,1
"If you've ever been depressed, shout out to you for making it this far 🖤",0
dunno whats worse anxiety waiting for a level results or getting up at 7 for them,0
@user ugh fbck ig stans for making me depressed??!,0
January lasted 6 months.February started 3 days ago.Winter may never end.I probably should get checked for depression.,1
we love being depressed,1
it's no wonder i am riddled with anxiety bc it seems everytime i try to do anything i would normally like to avoid it goes fucking wrong,1
My anxiety has fucked me up like a million times and here it goes again fucking me up.,1
@user @user Ok that literally gives me anxiety,0
"Depression fucking sucks, man.",1
I FUCJING HATE ANXIETY,1
im getting v. v anxious,1
turn depression to aggression,0
@user All depressing facts.,0
"Depressed but keep smiling, well dressed, nd be strong",1
made a bid on an ebay listing with 2m35s left on ittime to spend the next 2m35s anxiously refreshing this page,0
"hi really bad depression that I was in 5 years ago, I'm back.",0
"this basic things you do, like eat and drink, shouldn't give a person so much anxiety",1
We anxiously waited for this?,0
I'm depressed 'So am I' but I didn't ask because I'm sobbing and you aren't bitch get fucked,1
I've been having anxiety attacks ALL NIGHT. Send help.,1
I don't sleep much at all now. My anxiety is super bad but I'm still not getting high like I was.,1
@user Exactly and he still smashed your sister depressed or not I wouldn't forgive him so easily,0
"I've legit never been to a brunch, that's depressing lmao",0
suffering and depressed can exo2018subs pls upload eps 16-20 ;-; i need to see my boys being cute and funny,0
When you wanna have big dick energy but you have social anxiety it's called soft dick energy. @user,1
"I like how only about half of my music I liked when I was depressed followed me out, I really think that's something worth noting 🤔",0
#TheRealityOfDepressionIsDogs don't get it. Stupid dogs WTF are they so happy about all the time?,0
My mom spent 160 dollars on two water jugs... lol and people wonder why I'm so depressed,1
"@user Always, with a passenger. Hence my anxiety!",1
Summer school is depressing,0
Ummmmmmm excuse me I smell like CK Eternity and depression,1
🎶Hello depression my old 'friend'You can go fuck yourself again,1
@user Too depressed to even wanna do that 😪,1
"Depression taught me the importance of compassion and hard work, and that you can overcome enormous obstacles. – Rob Delaney",0
@user my anxiety attack,1
Me: kitties! Yay!Me: depression.. yay,1
"@user Hey there, how ya feeling? Getting anxious to get back in the ring?",0
So that whole deep depression shit ppl was making fun of Kanye about..I felt that shit..&amp; its not coo🙅🏾‍♂️🙅🏾‍♂️,1
just one day without anxiety. please.,1
@user I kinda wish I was my true self. I wouldn't be depressed.,1
"I've been severely depressed lately, but at least I got a raise today ¯\_(ツ)_/¯",1
my summer depression returns 🤣🤣🤣,1
@user performance anxiety,1
i'm already getting anxious for it,0
"I feel so bad for my ex, I know his anxiety through the roof. Can't even have friends on social media. 😕",0
"@user Just my normal anxious state, you?",1
"You don't come out of depressions the same, you lose a piece of peace each time.",0
The latest episode gave me depression.,0
Wish I could cut this depression out of me,1
"yes......it's true, not all heroes wear capes — today i used the crosswalk instead of anxiously power walking across the street",0
You forgot.. anxiety.,1
People who gone through depression. (long or short period. please dm me),0
#MyInnerFear is the fear of growing up and fitting into the reality of life. #BPD #MentalHealth #Anxiety,1
People keep subtweeting me &amp; giving me all this anxiety &amp; for what? Please tell me what did I ever do to make you do such a thing?😔,0
i don't even talk to people on twitter but i still worry people are indirecting me cause i'm a dumb anxious bitch hhh,1
"I used to be good friends with my depression, saying oh I'm so depressed, or life is terrible.",1
i need help anxiety wont let me sleep it's almost 2am and i need to wake up at 4am fuck fuck fuck,1
